dataset,n,d,contam,spacing_k_factor=0.0_auc,spacing_k_factor=0.0_ap,spacing_k_factor=0.0_secs,spacing_k_factor=0.5_auc,spacing_k_factor=0.5_ap,spacing_k_factor=0.5_secs,spacing_k_factor=1.0_auc,spacing_k_factor=1.0_ap,spacing_k_factor=1.0_secs,spacing_k_factor=1.5_auc,spacing_k_factor=1.5_ap,spacing_k_factor=1.5_secs
smtp,95156,3,0.0003152717642607928,0.9558638016945945,0.03698796284194848,6.624038807989564,0.9558638016945945,0.03698796284194848,6.792742392019136,0.9558638016945945,0.03698796284194848,6.447471678984584,0.9558638016945945,0.03698796284194848,6.472237019013846
backdoor,95329,193,0.02443118043827167,0.8620615844171433,0.47596259252573714,7.9661985950078815,0.8620615844171433,0.47596259252573714,8.025178354000673,0.8620615844171433,0.47596259252573714,7.972307543997886,0.8620615844171433,0.47596259252573714,8.012297626002692
campaign,41188,62,0.11265417111780131,0.7119666408228384,0.2955335644225417,5.0187331619963516,0.7119666408228384,0.2955335644225417,5.008743774989853,0.7119666408228384,0.2955335644225417,5.1041407989978325,0.7119666408228384,0.2955335644225417,5.07379118798417
census,299285,500,0.062041198189017155,0.6874540490660865,0.09470727745380922,21.771990412991727,0.6874540490660865,0.09470727745380922,21.37259253600496,0.6874540490660865,0.09470727745380922,21.669730939000146,0.6874540490660865,0.09470727745380922,21.441390149993822
InternetAds,1966,1555,0.1871820956256358,0.6407261794634598,0.37654810904298586,3.99396711398731,0.6407261794634598,0.37654810904298586,4.2685958110087086,0.6407261794634598,0.37654810904298586,4.227893443021458,0.6407261794634598,0.37654810904298586,4.276279298006557
mnist,7603,78,0.09206892016309351,0.8245859978063369,0.37834178673306174,7.360474167013308,0.8549164959334451,0.402000679239899,7.7007310110202525,0.8555487262266923,0.40335231753712736,7.648048257018672,0.8559077833654104,0.4040129232903305,7.73342926800251
musk,3062,166,0.03167864141084259,1.0,0.9999999999999999,2.5394360100035556,1.0,0.9999999999999998,2.7687552139977925,1.0,0.9999999999999998,2.7583239160012454,1.0,0.9999999999999998,2.7259530409937724
optdigits,5216,62,0.028757668711656442,0.6399802605606002,0.03628678650947651,4.577330200001597,0.5029214370311883,0.02609836790556897,4.88706923200516,0.5025358599815766,0.026079337754940875,4.837702562013874,0.5032649032767469,0.026117540501907968,4.930589222989511
SpamBase,4207,57,0.39909674352270025,0.5355661616694687,0.4028160829560631,3.8128333959903102,0.5383250182824315,0.4049611980917924,4.198519641999155,0.5392648200782564,0.40542279832478634,4.107927668985212,0.5397553358313041,0.40572061890510946,4.116330090007978
speech,3686,400,0.016549104720564298,0.40383041266252123,0.013972926820262074,4.269272735982668,0.44868287167891463,0.015650428649281352,4.562724399002036,0.4483301300169587,0.015594098927993922,4.658655376988463,0.44935217637083097,0.015796465329938877,4.558312840992585
