dataset,n,d,contam,K=256_auc,K=256_ap,K=256_secs,K=512_auc,K=512_ap,K=512_secs,K=1024_auc,K=1024_ap,K=1024_secs,K=2048_auc,K=2048_ap,K=2048_secs
mammography,11183,6,0.023249575248144506,0.8840294649962325,0.24968811867010157,1.3548845769837499,0.8832995302783822,0.2327774651301128,3.0679324280063156,0.8901986985823843,0.33586250685672386,5.50215323001612,0.8888154141930578,0.2792026159718697,11.738865738996537
shuttle,49097,9,0.0715114976475141,0.9958531280427918,0.90015166195268,1.430104132014094,0.9956374112520593,0.8882649306811183,3.230760467995424,0.9944058336977868,0.8634434056872816,5.715280242002336,0.995970077208317,0.8869406966253854,11.80331936798757
skin,245057,3,0.20753947040892526,0.8815882236777656,0.4718351394895802,2.0841453069879208,0.8935428707000873,0.4946490909462831,5.101335039013065,0.8922844540465347,0.4921583160960622,9.801192579005146,0.8981661724757879,0.5052481426542864,20.81579237099504
smtp,95156,3,0.0003152717642607928,0.9563769807062913,0.13263279488536908,1.5464485690172296,0.9552607418932084,0.023848243384935002,3.493042340996908,0.9558638016945945,0.03698796284194848,6.506765511003323,0.9555943345317439,0.02425257777891675,13.738926560006803
backdoor,95329,193,0.02443118043827167,0.851513986804988,0.3872053157943859,2.4201925579982344,0.857394215986371,0.4753255131128707,4.342623722011922,0.8620615844171433,0.47596259252573714,8.286997515009716,0.889732096935784,0.5001800674261776,16.56089555801009
campaign,41188,62,0.11265417111780131,0.6804221031482454,0.2874916879328737,1.1459258110262454,0.671845769427451,0.2427744567753653,2.625261600012891,0.7119666408228384,0.2955335644225417,5.130972982005915,0.6730202316603955,0.2520725977401568,10.806983260001289
census,299285,500,0.062041198189017155,0.6206506157801366,0.07607376053395673,9.900450091983657,0.48734725559437414,0.05621890023514045,13.81991390499752,0.6874540490660865,0.09470727745380922,21.859722263005096,0.6954733024526227,0.10302240886846477,38.96389440499479
InternetAds,1966,1555,0.1871820956256358,0.619157098547097,0.2863162655080863,1.3247199210163672,0.6101988899167436,0.2656797737274643,2.291651389998151,0.6407261794634598,0.37654810904298586,4.2883042249886785,0.6734369048266855,0.3939417226038573,8.271879918989725
mnist,7603,78,0.09206892016309351,0.8221446162124129,0.3438949720635937,1.891375616978621,0.8439134123879888,0.39271119378532926,3.796420738013694,0.8555487262266923,0.40335231753712736,8.03624744398985,0.8516297262059974,0.39954826431133644,16.74020773600205
musk,3062,166,0.03167864141084259,1.0,0.9999999999999998,0.6709751669841353,1.0,0.9999999999999998,1.3795258570171427,1.0,0.9999999999999998,2.864926196023589,1.0,0.9999999999999998,5.999787356995512
optdigits,5216,62,0.028757668711656442,0.5842716146861431,0.031074464398094345,1.3380497590114828,0.5670706671930517,0.029913909500822785,2.7454115909931716,0.5025358599815766,0.026079337754940875,5.080629434000002,0.5415186208711672,0.02829594002428939,10.350431304017548
SpamBase,4207,57,0.39909674352270025,0.5576914377907284,0.4014672875575907,0.9006530409969855,0.46350510965689345,0.3464065306555554,2.047735085012391,0.5392648200782564,0.40542279832478634,4.275728748005349,0.6393326252817756,0.5133881844910446,9.285174941003788
speech,3686,400,0.016549104720564298,0.48175466365178066,0.017420465137379167,1.1265324089908972,0.4537297908422838,0.014995072704058213,2.296082604996627,0.4483301300169587,0.015594098927993922,4.935258757992415,0.4471543244771057,0.016275496400742752,9.504639532009605
